date,open,high,low,close,volume
2022-01-03,52.77804256770447,54.81194210929258,52.75218564184614,54.76023483276367,24282400
2022-01-04,55.26870799679304,57.044067892052276,55.24285435818041,56.81999206542969,38584000
2022-01-05,57.31123946400618,58.267863686337776,57.294005894092564,57.526695251464844,34033300
2022-01-06,58.60396998762345,59.0176479629719,57.802474252726356,58.87975311279297,30668500
2022-01-07,59.05210512266686,59.620911420764834,58.58672651991592,59.362361907958984,23985400
2022-01-10,59.4399294157271,59.612291374208674,58.56086633198427,59.00901794433594,22760300
2022-01-11,59.37097863434958,61.53415593907609,59.103815641302205,61.49106216430664,32936100
2022-01-12,61.31009292602539,61.887512807255824,60.879181389252544,61.31009292602539,23045100
2022-01-13,61.292846197794724,61.68928393748623,60.594765186975756,60.870548248291016,21043200
2022-01-14,60.887799082481735,62.18053364230008,60.84470530041259,61.93922424316406,23012900
2022-01-18,62.757964534457486,63.67149501327684,62.05988985348716,62.98204040527344,32841200
2022-01-19,63.55944352014897,63.65424457209232,62.52525859464185,63.007877349853516,26431600
2022-01-20,62.48217773043464,64.09378937137726,62.27534201762123,63.14577865600586,26774600
2022-01-21,63.06819683139726,63.06819683139726,61.22389644655739,62.19775390625,35995200
2022-01-24,61.086019951347765,62.982034747201794,60.16386948240406,62.73210525512695,41507000
2022-01-25,62.55972402967362,64.84355613465834,61.52553913222521,64.5763931274414,39278400
2022-01-26,65.00731229517092,65.4985511659077,63.335373490296796,63.92141342163086,35252400
2022-01-27,65.03316713514336,65.50717244688163,63.766286188486646,64.74015045166016,29174700
2022-01-28,64.61087346439032,65.17105974765566,63.73181029368157,64.87803649902344,30595700
2022-01-31,64.6108627367099,65.86050328981226,64.00758277213302,65.46406555175781,36085500
2022-02-01,65.88635226465908,70.2471802252214,65.73122389333179,69.66114044189453,61033100
2022-02-02,68.99756101517129,69.64392839388005,68.21330534810292,69.48018646240234,30299300
2022-02-03,69.02340322684432,69.21300534522781,68.1012528489511,68.67005920410156,28529400
2022-02-04,69.69564070960482,71.12626372365379,69.69564070960482,70.16102600097656,32197500
2022-02-07,69.928336199292,71.60027536580142,69.49742458525881,71.005615234375,34949200
2022-02-08,70.90218152247714,71.1004037229087,68.87689861025618,69.169921875,34356300
2022-02-09,69.34419889245449,69.73631597164417,68.58609833819659,68.83879852294922,40106100
2022-02-10,68.59480813332553,69.43132937299049,67.78442714363761,68.17654418945312,28527700
2022-02-11,68.50766405186715,69.98900233412049,68.16782754419633,69.89315032958984,42002100
2022-02-14,69.3441902797893,69.5707435361213,67.13960731016773,68.82136535644531,34652800
2022-02-15,67.00890418469615,68.13298150630261,66.59064022741559,67.95870208740234,25075100
2022-02-16,68.65581565655873,69.4749124148275,68.00228270638623,68.27240753173828,21733800
2022-02-17,68.38568334316379,68.94336420106667,67.92384785789025,68.16783905029297,23738800
2022-02-18,67.23547147277858,68.11555770436307,67.00019589350214,67.40974426269531,23394800
2022-02-22,69.42262370649074,69.52719136949034,65.62341837588876,66.62550354003906,35947800
2022-02-23,66.62549745875911,67.50559025978596,66.33794139781763,66.89562225341797,25385000
2022-02-24,68.83880438736468,68.8649446417935,64.50805828816283,66.05039978027344,46199900
2022-02-25,66.82591687948324,67.9587032045969,66.45122443278808,67.82799530029297,28310300
2022-02-28,66.6690625099939,68.77779345620682,66.39893109345554,68.33338928222656,32204600
2022-03-01,68.63837863998357,70.27657201932608,68.2549771953531,68.98693084716797,40002300
2022-03-02,70.23300847367746,71.58364593681941,69.55333524895147,70.17201232910156,44321400
2022-03-03,69.58818393668966,71.25251093677835,69.38776425492125,70.61640930175781,30196600
2022-03-04,70.6251205750726,73.43966504299497,70.28528401886005,73.27410125732422,42802200
2022-03-07,73.99736400753942,76.01025023505446,73.10856202319063,75.91439819335938,55207900
2022-03-08,77.59612394035797,79.73971054687341,74.44173683017503,76.48947143554688,72082300
2022-03-09,73.22183288643959,75.435132009014,71.10438579796698,72.14132690429688,65466700
2022-03-10,73.20438725546197,74.65958532196294,72.23715820573275,74.38074493408203,44644200
2022-03-11,73.25669083900392,75.13886903646626,73.16955443684319,73.99736022949219,35303400
2022-03-14,72.37657571075088,72.71641222871038,70.14585258812869,71.34835052490234,37462600
2022-03-15,68.68195247174694,68.98693317027322,66.54708093398233,67.28775024414062,47957900
2022-03-16,67.80185899462612,68.50767905970889,66.44251266615355,67.03504943847656,37812300
2022-03-17,68.12426102660025,68.96949786591152,67.15703192677803,68.82136535644531,34041900
2022-03-18,68.89107557140971,69.17863162736637,68.05455430251041,68.55123901367188,41461500
2022-03-21,69.81473789184331,71.90603768067447,69.48361032841711,71.627197265625,33089300
2022-03-22,71.13051866527516,71.6272034049062,70.39856500606332,71.31350708007812,23132200
2022-03-23,72.62057233676346,73.430953395114,72.36787880018828,72.43758392333984,27716300
2022-03-24,72.72514543122944,73.76208649957518,72.10646837346849,72.65543365478516,19871600
2022-03-25,72.25460152817837,74.49404084291064,72.14132487655164,74.24134063720703,22398300
2022-03-28,72.47244114023762,72.59443341809431,71.47035601663157,72.15874481201172,21552400
2022-03-29,70.41597687895202,71.87989058047286,69.50103497055105,71.77532958984375,27036300
2022-03-30,72.37658988085519,73.20440223001934,72.07160918298655,73.00398254394531,22079000
2022-03-31,72.21103222027998,73.54423829590488,71.93219177732628,71.967041015625,27861500
2022-04-01,71.44421824546089,73.31768064630384,71.44421824546089,72.42887878417969,18671100
2022-04-04,72.81226774766345,72.89941077540797,71.49649312414049,72.4637222290039,20869400
2022-04-05,72.76000021948457,74.12806223313727,71.94090347884942,72.08904266357422,21753100
2022-04-06,72.69027401211505,73.80563560459349,72.2720167389754,72.89069366455078,24768200
2022-04-07,73.04755259765868,74.45047042776841,72.07160773599263,74.11063385009766,26122000
2022-04-08,74.21518904708358,75.9927992015627,74.21518904708358,75.6703872680664,24866500
2022-04-11,74.74674568143979,74.87745360946793,72.76000644927244,73.06498718261719,21800100
2022-04-12,74.68572627507507,75.6529553339411,74.39817025258424,74.58987426757812,22444200
2022-04-13,75.46996857820804,75.90565711328692,74.23261473412313,75.64424133300781,19306800
2022-04-14,75.52224993316291,77.08201570423783,75.1388485386311,76.53305053710938,24566400
2022-04-18,77.11688227711097,77.45671885360434,76.46334937645749,77.16045379638672,19032300
2022-04-19,76.68990544646928,77.25630192811637,76.04508156369315,76.47206115722656,20382600
2022-04-20,76.65504741989791,77.11687623649146,76.07122633658456,76.64633178710938,20689400
2022-04-21,77.5090108967719,78.24968694623878,75.62683931969927,75.83596801757812,29010900
2022-04-22,75.5135486514004,76.78575852028287,74.06705935988185,74.18033599853516,23591600
2022-04-25,71.7753335183902,72.02803367304058,69.09149047735818,71.67948150634766,37698300
2022-04-26,72.08902784979047,73.82306635578894,71.60976780256703,71.70561981201172,28941500
2022-04-27,72.66413556270764,74.48531715183064,71.69690645351442,73.75335693359375,32773000
2022-04-28,73.9625052067753,76.80319715749678,73.25669169848666,75.98410034179688,33683800
2022-04-29,76.80317610640166,76.80317610640166,73.80563679231805,74.28489685058594,34656500
2022-05-02,74.07577828233457,75.84467295013646,73.74465068866255,75.29570770263672,36335200
2022-05-03,75.16498282560855,77.36084996803609,75.04299057592252,76.84674072265625,33908100
2022-05-04,77.98826146476725,80.0621368623649,77.47415209423464,79.90528869628906,46188400
2022-05-05,80.20156209076076,80.21027772463677,77.02103383025133,78.69407653808594,41013400
2022-05-06,79.27789892641745,80.00985256806104,77.85754986529237,79.89657592773438,29619300
2022-05-09,77.93597288745521,78.04053388862333,73.21310377499074,73.59651184082031,45851600
2022-05-10,74.62474418180044,75.71396570085764,72.77742209217043,74.08448791503906,34483200
2022-05-11,75.31312712036316,77.50028562193484,75.18241921862906,75.62682342529297,33020600
2022-05-12,75.66203477818632,76.0405653098911,73.41726631766794,75.97014617919922,29491500
2022-05-13,76.90326987792952,78.30294841070683,76.0141619759475,78.22372436523438,25798400
2022-05-16,78.32934670972652,80.97025513031346,78.32054180112823,80.06353759765625,26101200
2022-05-17,80.75018885027225,81.3840013035753,80.21320353813832,81.08470153808594,23120700
2022-05-18,81.43681755394016,81.79773822568406,79.07760567568609,79.79945373535156,25451200
2022-05-19,78.34695680577323,81.25195901425626,78.34695680577323,80.23080444335938,24387400
2022-05-20,80.92626022751521,82.38755980843735,79.57939762607793,80.86463928222656,28795000
2022-05-23,81.5688729991255,83.4263060089529,81.47203913919698,82.65164184570312,27239300
2022-05-24,81.70970589702698,83.4439034933389,81.26955449557431,83.1005859375,24293300
2022-05-25,83.25904843513128,84.97563637358432,83.16221458053363,84.7731704711914,29947800
2022-05-26,85.03727394922558,85.76792709830058,84.68515138324659,85.0724868774414,24314800
2022-05-27,84.46507129809731,86.20807421662875,83.89287971335452,85.90876770019531,25588800
2022-05-31,86.76266010261315,87.83663081952304,84.2537979371476,84.50908660888672,44888100
2022-06-01,85.40699699902996,86.89471126862071,85.05488116004108,86.12884521484375,25815400
2022-06-02,85.64468191021103,86.35772520963542,85.20453039872851,85.97919464111328,19089100
2022-06-03,86.18164649299152,87.73098132003368,86.18164649299152,87.22920227050781,21038200
2022-06-06,87.30843885325389,87.83661923164328,86.85948250934285,87.0091323852539,20682100
2022-06-07,87.76617874077736,91.0497108505956,87.58131597500622,90.99689483642578,37810200
2022-06-08,91.10254522855756,92.93357687220089,90.65359558526451,92.07087707519531,31613200
2022-06-09,91.04093266498128,92.05328243616515,89.93175574479118,90.08140563964844,26607000
2022-06-10,89.73809314037815,90.979316921828,87.84544028025906,88.43524169921875,30950500
2022-06-13,85.84713361168276,86.06720933093727,82.67804459765334,84.37702941894531,33421000
2022-06-14,85.75030829396268,86.85948510689721,83.86645391827949,84.59710693359375,31264000
2022-06-15,84.50028387000566,85.01086122660483,82.10585861329955,83.53195190429688,29620800
2022-06-16,81.34879468224965,81.98260713231791,79.47374519607426,80.45088195800781,35696700
2022-06-17,80.07235427166766,80.41567187949506,75.40675273946476,75.81169128417969,64610200
2022-06-21,77.97723343613114,81.45442724667704,77.92441069449173,80.53011322021484,35951500
2022-06-22,77.06171764373539,79.01599118096844,77.05291273409448,77.34341430664062,29727200
2022-06-23,78.0476616514442,78.39097925972622,73.52289837445191,75.01061248779297,35757200
2022-06-24,76.54232501366526,77.81876809069996,75.538780368922,76.4983139038086,26639000
2022-06-27,77.29941173027073,79.262490564574,77.17616983568806,78.37338256835938,25478700
